trial_id,map,agent_count,instance_idx,disturbance_id,gap_eligible,failure_class,nominal_min_clearance_m,actual_min_clearance_m,clearance_loss_m,tracking_position_rmse_m,tracking_max_error_m
confirmation_instances_dense_3_idx22_D2_FX_010,instances_dense,3,22,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.00036792091971853125,-0.02805841574413391,0.02842633666385244,0.0290079666353153,0.05060919477326024
confirmation_instances_dense_3_idx21_D2_FX_010,instances_dense,3,21,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.00411573829617308,-0.02396202002703321,0.02807775832320629,0.030268421048710026,0.0518061007805344
confirmation_instances_dense_3_idx13_D2_FX_010,instances_dense,3,13,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.009590555800824997,-0.02011926582660154,0.02970982162742654,0.028822642929495736,0.04861797610734774
confirmation_instances_dense_3_idx8_D2_FX_010,instances_dense,3,8,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.00397600109689672,-0.018084682787750675,0.022060683884647395,0.02952640817455562,0.04571416861810924
confirmation_instances_dense_3_idx7_D2_FX_010,instances_dense,3,7,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.003091250168176393,-0.017054145938488863,0.020145396106665256,0.02962887404817264,0.050659768759767576
confirmation_instances_dense_3_idx12_D2_FX_010,instances_dense,3,12,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.007869517933554213,-0.012716405429974112,0.020585923363528325,0.02865078404416323,0.05024893560554188
confirmation_instances_dense_3_idx22_D1_FX_005,instances_dense,3,22,D1_FX_005,True,ELIGIBLE_EXECUTION_UNSAFE,0.00036792091971853125,-0.012369349971296031,0.012737270891014563,0.015594692786647582,0.036003205736211345
confirmation_instances_dense_3_idx11_D2_FX_010,instances_dense,3,11,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.017068080987814302,-0.011127593843345454,0.028195674831159756,0.03067209120245922,0.06449267590552125
confirmation_instances_dense_3_idx21_D1_FX_005,instances_dense,3,21,D1_FX_005,True,ELIGIBLE_EXECUTION_UNSAFE,0.00411573829617308,-0.008678044676699748,0.012793782972872828,0.0163491872471228,0.04095899118266938
confirmation_instances_dense_3_idx20_D2_FX_010,instances_dense,3,20,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.021231496799031815,-0.00864667083017849,0.029878167629210306,0.029015082453951974,0.04802537219776153
confirmation_instances_dense_3_idx10_D2_FX_010,instances_dense,3,10,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.01814768258367945,-0.008357240547046028,0.02650492313072548,0.028764840009399828,0.039131156390477
calm_instances_dense_3_idx3_D0_CALM,instances_dense,3,3,D0_CALM,True,ELIGIBLE_EXECUTION_UNSAFE,0.013143740617442431,-0.00796914347909046,0.02111288409653289,0.005709420291246796,0.02750350902161965
confirmation_instances_dense_3_idx23_D2_FX_010,instances_dense,3,23,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.016686793290790716,-0.0077358033379292535,0.02442259662871997,0.028873902888886166,0.040942705111088946
confirmation_instances_dense_3_idx16_D2_FX_010,instances_dense,3,16,D2_FX_010,True,ELIGIBLE_EXECUTION_UNSAFE,0.019075368275726645,-0.00772961795065516,0.026804986226381805,0.029437481098682963,0.043381559681825096
