adaptive_covered,adaptive_mean_radius_m,coverage_difference,fixed_covered,fixed_radius_m,mean_radius_reduction,trial_id
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_common_pos_x|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_common_neg_x|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_common_pos_y|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_common_neg_y|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_common_fixed_017|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_independent_fixed_019|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_common_piecewise_3101|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_common_piecewise_3102|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_independent_piecewise_3201|0.005N
True,0.023937258586224534,0,True,0.14392941455961325,0.8336875150957409,holdout|instances_connected_room|3|4|holdout_independent_piecewise_3202|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_common_pos_x|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_common_neg_x|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_common_pos_y|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_common_neg_y|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_common_fixed_017|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_independent_fixed_019|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_common_piecewise_3101|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_common_piecewise_3102|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_independent_piecewise_3201|0.005N
True,0.02133638533439467,0,True,0.14392941455961325,0.8517579926266046,holdout|instances_dense|3|18|holdout_independent_piecewise_3202|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_common_pos_x|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_common_neg_x|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_common_pos_y|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_common_neg_y|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_common_fixed_017|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_independent_fixed_019|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_common_piecewise_3101|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_common_piecewise_3102|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_independent_piecewise_3201|0.005N
True,0.018536258200903717,0,True,0.14392941455961325,0.8712128562627739,holdout|instances_dense|3|19|holdout_independent_piecewise_3202|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_common_pos_x|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_common_neg_x|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_common_pos_y|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_common_neg_y|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_common_fixed_017|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_independent_fixed_019|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_common_piecewise_3101|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_common_piecewise_3102|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_independent_piecewise_3201|0.005N
True,0.017728905734194035,0,True,0.14392941455961325,0.8768222201942536,holdout|instances_dense|3|20|holdout_independent_piecewise_3202|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_common_pos_x|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_common_neg_x|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_common_pos_y|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_common_neg_y|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_common_fixed_017|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_independent_fixed_019|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_common_piecewise_3101|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_common_piecewise_3102|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_independent_piecewise_3201|0.005N
True,0.021074396068929347,0,True,0.14392941455961325,0.8535782547757069,holdout|instances_dense|3|21|holdout_independent_piecewise_3202|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_common_pos_x|0.005N
