metric,R0_raw_velocity_reference,R1_position_consistent_reference,delta,gate
mean XY RMSE,0.027994756572505247,0.004417622834878108,-0.02357713373762714,<= 0.02
max XY error,0.10764344523313567,0.026932576189519285,-0.08071086904361638,<= 0.05
Z RMSE,0.02453234169277586,0.007891901734266044,-0.016640439958509817,<= 0.01
max tilt,30.67673502511937,27.692595762720078,-2.9841392623992924,<= 45.0
rotor saturation,0.0064974010395841665,0.0,-0.0064974010395841665,<= 0.1
min actual clearance,0.10275824562116825,0.08311790220589899,-0.019640343415269268,<= 0.0
