trial_id,phase,git_head,config_hash,source_paths_sha256,map,instance_idx,agent_count,disturbance_id,external_force_world_n,controller_hash,dynamics_hash,reference_hash,official_planning_success,nominal_safe,dynamic_feasible,gap_eligible,execution_safe,nominal_min_clearance_m,actual_min_clearance_m,clearance_loss_m,tracking_position_rmse_m,tracking_max_error_m,max_reference_speed_mps,max_reference_acceleration_mps2,p99_reference_acceleration_mps2,max_required_thrust_ratio,max_required_tilt_deg,max_actual_tilt_deg,rotor_saturation_fraction,nominal_closest_approach_time_s,actual_closest_approach_time_s,collision_type,agent_agent_collision,agent_obstacle_collision,runtime_s,failure_class
calm_instances_empty_6_idx0_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,3D6A43D009A2E0E5E1323F176A59686C16A474D10B738FBB958078607F07AD7C,instances_empty,0,6,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,False,False,False,0.09032109920493567,0.08092125412082682,0.009399845084108849,0.017597294622734173,0.04954553329854655,0.6944723727529312,20.90207811169816,8.170152558813436,1.0460832417444157,64.85786392536707,48.85683280218353,0.0,1.988,1.96,none,False,False,2.7255474999999976,REFERENCE_DYNAMIC_INFEASIBLE
calm_instances_empty_9_idx0_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,A9F048EFCF2A9507AC11F4B36A3947B3494E8855B6BEB2C919BA5D7DCF5E13C1,instances_empty,0,9,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,False,False,False,False,-0.005322074415761602,-0.014149882714866169,0.008827808299104567,0.02476119729955216,0.06598323008144805,0.8534409264535285,33.659594285693544,13.24935028949746,1.5884023663121312,73.75137602997431,50.84268695909019,5.553334221866809e-05,0.146,0.234,agent-agent,True,False,3.7306266999999984,NOMINAL_STRICT_GEOMETRY_FAILURE
calm_instances_shelf_3_idx0_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,E6180E3DD16716F9070B8D532A670BDFC135A8597E56561B99128B2D9AC405A9,instances_shelf,0,3,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,True,True,True,0.02790577439291611,0.02770894595784809,0.0001968284350680194,0.002500398494082132,0.009471170579794507,0.3303752738884597,5.101750038174639,2.188435764044426,0.5009538191258529,27.476960318685823,13.700027984267333,0.0,1.6440000000000001,1.562,none,False,False,1.482054699999999,ELIGIBLE_EXECUTION_SAFE
calm_instances_shelf_6_idx0_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,58C85D07C561080D79FF7DCDB5FAD36AAF7EB5CDA5DED6F2276ED20E1661D2BD,instances_shelf,0,6,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,False,False,False,False,-0.11679643548037252,-0.10627111872357384,-0.010525316756798686,0.021240855975198827,0.07972582485926892,0.8533244559042069,33.50361758621784,11.142899639453853,1.5816193025245533,73.67974751517863,46.86988402889243,0.0,3.858,3.872,agent-obstacle,True,True,2.6634873,NOMINAL_STRICT_GEOMETRY_FAILURE
calm_instances_shelf_9_idx0_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,24DD29485C10C7CF63BB5998025E2D26D97A625F04EC6CDA038B07D3540A6991,instances_shelf,0,9,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,False,False,False,0.015148119947844846,0.011832417091436648,0.003315702856408198,0.02170575396449142,0.06624631752578639,0.8533407197455616,32.89241498084467,9.423850900320364,1.5550638550980478,73.39304901938216,50.16619349588668,0.0,2.088,0.872,none,False,False,4.082993899999998,REFERENCE_DYNAMIC_INFEASIBLE
calm_instances_simple_3_idx1_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,2214644D85841C91422A45EFB7ADD4E0EE191980970D5F64FAFBD1926C38D448,instances_simple,1,3,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,True,True,True,0.01279852058404353,0.014414636013124912,-0.0016161154290813828,0.0058982353538881436,0.03224393310014236,0.5318662823778821,11.88020341076314,4.456973443445964,0.6980174310816587,50.45203275186072,31.07760698950268,0.0,1.452,1.412,none,False,False,1.4144110000000012,ELIGIBLE_EXECUTION_SAFE
calm_instances_simple_3_idx2_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,CA892C5FCBDE1E5A2B52BF2658DE336A4D6DFDE210B7588053D8EA9792DBFA17,instances_simple,2,3,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,True,True,True,0.015570696167684875,0.016125581341298004,-0.0005548851736131288,0.0042110704385834325,0.025886521461612983,0.36413361001569194,12.406573302190958,3.922387798746749,0.7165667965120799,51.666229838462776,26.37261060958348,0.0,3.524,3.49,none,False,False,1.437817200000005,ELIGIBLE_EXECUTION_SAFE
calm_instances_simple_3_idx3_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,E67652AB3A633D1D3679603A3BE56B3DDE8AFC3765FDC1DEFB313E722DA2BBEF,instances_simple,3,3,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,True,True,True,0.01911417224536338,0.020197601040572416,-0.001083428795209035,0.002459000799395379,0.010535514012765352,0.2695591814766199,4.73654820300549,2.807529961983251,0.493538179942529,25.772577508920204,15.834868639846714,0.0,3.854,3.844,none,False,False,1.3492655999999954,ELIGIBLE_EXECUTION_SAFE
calm_instances_simple_3_idx4_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,136C3623CCCB5191CE572FC747CAAADC351641E0D0EDAB875152D7677C909A29,instances_simple,4,3,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,True,True,True,0.020593447651070032,0.020273341906338824,0.00032010574473120834,0.0037010317115388856,0.01500523205490896,0.35911264009920885,7.294463106917044,3.828895686869709,0.5538467269311605,36.63354115579825,21.546890511697608,0.0,1.356,1.3980000000000001,none,False,False,1.3143114000000011,ELIGIBLE_EXECUTION_SAFE
calm_instances_empty_3_idx1_D0_CALM,calm_discovery,637af3fafd88784de9406921f35ecf92dabb07b0,97440F483FE8928E95F028CB0BF29F296ACF0BC6838060FFEE468CB5D65988CC,6A9C3D59D2B5A3A45DE43A4D9EBB84A4DD02D56F45F0DEE414346F65F98829FE,instances_empty,1,3,D0_CALM,"[0.0, 0.0, 0.0]",A3BA0282A203FA442EC06EB93BAE6CE2882B91A8173C65CFC41C07D6210D92C8,9BEB75ED8A2BC00840B813DCF17F4613A5630C742DE5A348CB6AFC974CE7DBAC,0C51602C854B52F77A8148A507C260AA2131876F5FA8E31766AF04D1676C254B,True,True,True,True,True,0.28862968581751536,0.28862968581751536,0.0,0.0024629064252485976,0.012010655080383138,0.2578931798353262,4.969459122249304,2.948624067239398,0.49821685623884804,26.86544020143784,17.704351418887924,0.0,0.0,0.0,none,False,False,1.2755050999999966,ELIGIBLE_EXECUTION_SAFE
